"objid","poi_id","kategorie","quartier","strasse","baumgattunglat","baumartlat","baumnamelat","baumnamedeu","baumnummer","status","baumtyp","baumtyptext","pflanzjahr","genauigkeit","kronendurchmesser","geometry"
"60","SW-939","Strassenbaum","Hirzenbach","Sportanlage Heerenschürli /Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-939","Strassenbaum (A)","0","nicht zugeordnet","1978","Eingemessen","8","POINT (2687136.5 1251102.5)"
"63","SW-938","Strassenbaum","Hirzenbach","Sportanlage Heerenschürli /Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-938","Strassenbaum (A)","0","nicht zugeordnet","1978","Eingemessen","7","POINT (2687145.5 1251103.1)"
"66","SW-944","Strassenbaum","Hirzenbach","Sportanlage Heerenschürli /Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-944","Strassenbaum (A)","0","nicht zugeordnet","1978","Eingemessen","7","POINT (2687144 1251087.8)"
"69","SW-937","Strassenbaum","Hirzenbach","Sportanlage Heerenschürli /Ueberlandstr.","Acer","pseudoplatanus","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","SW-937","Strassenbaum (A)","0","nicht zugeordnet","1978","Eingemessen","8","POINT (2687154.2 1251099.6)"
"72","SW-1245","Strassenbaum","Hirzenbach","Sportanlage Heerenschürli 483/Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-1245","Strassenbaum (A)","0","nicht zugeordnet","1978","Eingemessen","6","POINT (2687160.2 1251093.2)"
"75","SW-945","Strassenbaum","Hirzenbach","Sportanlage Heerenschürli /Ueberlandstr.","Acer","pseudoplatanus","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","SW-945","Strassenbaum (A)","0","nicht zugeordnet","1978","Eingemessen","6","POINT (2687167.5 1251078.2)"
"78","SW-935","Strassenbaum","Hirzenbach","Sportanlage Heerenschürli /Ueberlandstr.","Acer","pseudoplatanus","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","SW-935","Strassenbaum (A)","0","nicht zugeordnet","1978","Eingemessen","7","POINT (2687169 1251093.8)"
"81","SW-933","Strassenbaum","Hirzenbach","Sportanlage Heerenschürli /Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-933","Strassenbaum (A)","0","nicht zugeordnet","1978","Eingemessen","4","POINT (2687183.8 1251084)"
"84","SW-932","Strassenbaum","Hirzenbach","Sportanlage Heerenschürli /Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-932","Strassenbaum (A)","0","nicht zugeordnet","1978","Eingemessen","5","POINT (2687192.2 1251084.6)"
"87","SW-931","Strassenbaum","Hirzenbach","Sportanlage Heerenschürli /Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-931","Strassenbaum (A)","0","nicht zugeordnet","1987","Eingemessen","6","POINT (2687201.2 1251081.1)"
